Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_geographiques;Departement
94074;VALENTON;94460;VAL POMPADOUR;VALENTON;48.752728069, 2.461236106;94
94075;VILLECRESNES;94440;;VILLECRESNES;48.720848417, 2.531345894;94
95012;AMENUCOURT;95510;;AMENUCOURT;49.110115197, 1.649566256;95
95042;BAILLET EN FRANCE;95560;;BAILLET EN FRANCE;49.058629716, 2.302373577;95
95055;BELLEFONTAINE;95270;;BELLEFONTAINE;49.092655257, 2.469562727;95
95078;BOISSY L AILLERIE;95650;;BOISSY L AILLERIE;49.083308253, 2.032280181;95
95166;CLERY EN VEXIN;95420;;CLERY EN VEXIN;49.131528413, 1.84893942;95
95277;GONESSE;95500;;GONESSE;48.986294753, 2.457534399;95
95429;MONTREUIL SUR EPTE;95770;;MONTREUIL SUR EPTE;49.170217987, 1.685467824;95
95658;VIGNY;95450;;VIGNY;49.080112515, 1.930112816;95
75118;PARIS 18;75018;;PARIS;48.892570317, 2.348176598;75
77020;BANNOST VILLEGAGNON;77970;VILLEGAGNON;BANNOST VILLEGAGNON;48.675542321, 3.19174446;77
77026;BEAUCHERY ST MARTIN;77560;;BEAUCHERY ST MARTIN;48.602164551, 3.420786944;77
